1,Soil Series,Name,"Erodibility 
Class","Runoff
 Class  
",PSCG,N leaching,Type,Substrata,Modifier,"Soil 
Acidity
Group
",,1,,,,,,,Formula,N,P,K,,,N (Below),P(Below),K(Below),N(Above),P(Above),K(Above),"Fertilizer
Rec.",,,,,,,,,,
40,Amelia-AmB(H),Amelia,Medium,Low,Medium,Low,L,L,d,AG 2,,,,,,,,,15-08-04,15,8,4,,Pepper,150,39,25,150,,20,On non fertigated field apply 100 lb/acre of N at pre-planting and at flowering season. ,,,,,,,,,,
41,Amelia-AmB(L),Amelia,Medium,Low,Medium,Low,L,L,d,AG 2,,,,,,,,,15-05-20,15,5,20,,Pineapple,350,27,228,350,,,"Split in three applications, 1-2 months, 4-5 months and 8-9 months post plant, of the fertilizer formula 12-6-10 or a similar one on soils with low soil test values.",,,,,,,,,,
42,Amelia-AmC2(H),Amelia,Medium,Medium,Medium,Low,L,L,d,AG 2,,,,,,,,,15-10-05,15,10,5,,Plantain,288,24,574,288,,,"Split in four applications (2,5,8,11 months post plant), using a fertilizer formula 10-2-25 or a similar one on soils with low soil test values at a rate of 1/2 lb, 3/4 lb, 1lb, and 1/2 per plant and application. Application rate should be adjusted, if you change fertilizer amount. ",,,,,,,,,,
43,Amelia-AmC2(L),Amelia,Medium,Medium,Medium,Low,L,L,eh,AG 2,,,,,,,,,15-10-10,15,10,10,,Pumpkin,150,43,66,100,,,"Split in two applications, pre-planting and 90 days after transplanting. ",,,,,,,,,,
44,Amelia-Ao(L),Amelia,Medium,Low,Medium,Low,L,L,eh,AG 2,,,,,,,,,15-10-15,15,10,15,,Rice,120,11,54,,,,Split in two applications.,,,,,,,,,,
45,Anones-AoD(M),Anones,High,Medium,High,Low,L,L,eh,AG 3,,,,,,,,,15-15-10,15,15,10,,Spanish Lime (Quenepa) 4 Yrs or Less (LD),61,18,63,,,,Split in three applications at a rate of 5-6 lb per tree using the formulas 15-5-10 or 10-10-10 with 3% of Mg plus micronutrient or a similar one on soils with low soil test values.  ,,,,,,,,,,
46,Anones-AoE2(M),Anones,High,High,High,Low,L,L,eh,AG 3,,,,,,,,,15-15-15,15,15,15,,Spanish Lime (Quenepa) 8 Yrs or Less (LD),69,29,113,,,,Split in three applications at a rate of 9-10 lb per tree using the formulas 15-5-20 or 10-10-20 with 3% of Mg plus micronutrient or a similar one on soils with low soil test values.  ,,,,,,,,,,
47,Anones-AoF2(M),Anones,High,High,High,Low,L,L,eh,AG 3,,,,,,,,,15-15-18,15,15,18,,Spanish Lime (Quenepa) 4 Yrs or Less (HD),95,27,52,,,,Split in three applications at a rate of 5-6 lb per tree using the formulas 15-5-10 or 10-10-10 with 3% of Mg plus micronutrient or a similar one on soils with low soil test values.  ,,,,,,,,,,
48,Arecibo-ArC(A),Arecibo,Medium,Very Low,Very Low,High,S,L,eh,AG 2,,,,,,,,,16-04-04,16,4,4,,Spanish Lime (Quenepa) 8 Yrs or Less (HD),106,46,174,,,,Split in three applications at a rate of 9-10 lb per tree using the formulas 15-5-20 or 10-10-20 with 3% of Mg plus micronutrient or a similar one on soils with low soil test values.  ,,,,,,,,,,
49,Arenales-An(H),Arenales,Very Low,Very Low,Low,High,S,S,e,AG 2,,,,,,,,,16-04-08,16,4,8,,Sugarcane (New seedling) ,185,77,20,120,20,50,,,,,,,,,,,
50,Arenales-Ar(H),Arenales,Very Low,Very Low,Low,High,S,S,e,AG 2,,,,,,,,,18-06-12,18,6,12,,Sugarcane (Suckers) ,144,66,171,124,,,,,,,,,,,,,
51,Bahia-AsB(L),Bahia,Very Low,Very Low,Very Low,High,S,S,d,AG 1,,,,,,,,,20-00-10,20,0,10,,Sweet Pepper,150,65,98,150,,,"Split in 3 applications (pre-planting, flowering season and after first harvesting)1500 lb/ac of fertilizer formula 10-10-8 or a similar one on soils with low soil test values. On fertigated field make a pre-planting application of 500 lb/ac formula 10-10-8 (50 lb N/ac/yr , 22 lb P/ac/yr, 33 lb K/ac/yr) and split the rest in 6 applications via drip irrigation at 2 week intervals. Apply a solution of 3 % of N as a starter fertilzer.",,,,,,,,,,
